Time,Start,End,Stage,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31
00:31,06:00,08:30,8,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
00:32,08:00,10:30,1,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
00:33,08:00,10:30,2,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
00:34,08:00,10:30,3,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
00:35,08:00,10:30,4,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
00:36,08:00,10:30,5,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
00:37,08:00,10:30,6,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
00:38,08:00,10:30,7,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
00:39,08:00,10:30,8,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
00:40,10:00,12:30,1,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
00:41,10:00,12:30,2,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
00:42,10:00,12:30,3,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
00:43,10:00,12:30,4,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
00:44,10:00,12:30,5,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
00:45,10:00,12:30,6,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
00:46,10:00,12:30,7,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
00:47,10:00,12:30,8,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
00:48,12:00,14:30,1,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
00:49,12:00,14:30,2,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
00:50,12:00,14:30,3,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
00:51,12:00,14:30,4,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
00:52,12:00,14:30,5,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
00:53,12:00,14:30,6,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
00:54,12:00,14:30,7,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
00:55,12:00,14:30,8,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
00:56,14:00,16:30,1,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
00:57,14:00,16:30,2,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
00:58,14:00,16:30,3,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
00:59,14:00,16:30,4,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
0.041666667,14:00,16:30,5,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
0.042361111,14:00,16:30,6,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
0.043055556,14:00,16:30,7,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
0.04375,14:00,16:30,8,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
0.044444444,16:00,18:30,1,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
0.045138889,16:00,18:30,2,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
0.045833333,16:00,18:30,3,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
0.046527778,16:00,18:30,4,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
0.047222222,16:00,18:30,5,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
0.047916667,16:00,18:30,6,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
0.048611111,16:00,18:30,7,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
0.049305556,16:00,18:30,8,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
0.05,18:00,20:30,1,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
0.050694444,18:00,20:30,2,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
0.051388889,18:00,20:30,3,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
0.052083333,18:00,20:30,4,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
0.052777778,18:00,20:30,5,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
0.053472222,18:00,20:30,6,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
0.054166667,18:00,20:30,7,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
0.054861111,18:00,20:30,8,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
0.055555556,20:00,22:30,1,6,2,8,3,10,15,14,11,9,5,13,4,12,7,1,16,4,5,15,11,13,3,10,7,14,1,6,8,2,16,9
0.05625,20:00,22:30,2,13,9,15,10,1,6,5,2,16,12,4,11,3,14,8,7,9,10,4,16,2,8,15,12,3,6,11,13,7,5,14
0.056944444,20:00,22:30,3,8,4,10,5,12,1,16,13,11,7,15,6,14,9,3,2,10,11,5,1,3,9,16,13,4,7,12,14,8,6,15
0.057638889,20:00,22:30,4,15,11,1,12,3,8,7,4,2,14,6,13,5,16,10,9,15,16,10,6,8,14,5,2,9,12,1,3,13,11,4
0.058333333,20:00,22:30,5,10,6,12,7,14,3,2,15,13,9,1,8,16,11,5,4,16,1,11,7,9,15,6,3,10,13,2,4,14,12,5
0.059027778,20:00,22:30,6,1,13,3,14,5,10,9,6,4,16,8,15,7,2,12,11,5,6,16,12,14,4,11,8,15,2,7,9,3,1,10
0.059722222,20:00,22:30,7,12,8,14,9,16,5,4,1,15,11,3,10,2,13,7,6,6,7,1,13,15,5,12,9,16,3,8,10,4,2,11
0.060416667,20:00,22:30,8,3,15,5,16,7,12,11,8,6,2,10,1,9,4,14,13,11,12,6,2,4,10,1,14,5,8,13,15,9,7,16
0.061111111,22:00,00:30,1,11,7,13,8,15,4,3,16,14,10,2,9,1,12,6,5,3,4,14,10,12,2,9,6,13,16,5,7,1,15,8
0.061805556,22:00,00:30,2,4,16,6,1,8,13,12,9,7,3,11,2,10,5,15,14,14,15,9,5,7,13,4,1,8,11,16,2,12,10,3
0.0625,22:00,00:30,3,9,5,11,6,13,2,1,14,12,8,16,7,15,10,4,3,13,14,8,4,6,12,3,16,7,10,15,1,11,9,2
0.063194444,22:00,00:30,4,2,14,4,15,6,11,10,7,5,1,9,16,8,3,13,12,8,9,3,15,1,7,14,11,2,5,10,12,6,4,13
0.063888889,22:00,00:30,5,7,3,9,4,11,16,15,12,10,6,14,5,13,8,2,1,7,8,2,14,16,6,13,10,1,4,9,11,5,3,12
0.064583333,22:00,00:30,6,16,12,2,13,4,9,8,5,3,15,7,14,6,1,11,10,2,3,13,9,11,1,8,5,12,15,4,6,16,14,7
0.065277778,22:00,00:30,7,5,1,7,2,9,14,13,10,8,4,12,3,11,6,16,15,1,2,12,8,10,16,7,4,11,14,3,5,15,13,6
0.065972222,22:00,00:30,8,14,10,16,11,2,7,6,3,1,13,5,12,4,15,9,8,12,13,7,3,5,11,2,15,6,9,14,16,10,8,1
